日本語,英語,キー
シラカバの看板,Birch Sign,block.minecraft.birch_sign
シラカバのハーフブロック,Birch Slab,block.minecraft.birch_slab
シラカバの階段,Birch Stairs,block.minecraft.birch_stairs
シラカバのトラップドア,Birch Trapdoor,block.minecraft.birch_trapdoor
壁に付けられたシラカバの吊り看板,Birch Wall Hanging Sign,block.minecraft.birch_wall_hanging_sign
壁に付けられたシラカバの看板,Birch Wall Sign,block.minecraft.birch_wall_sign
シラカバの木,Birch Wood,block.minecraft.birch_wood
黒色の旗,Black Banner,block.minecraft.black_banner
黒色のベッド,Black Bed,block.minecraft.black_bed
黒色のろうそく,Black Candle,block.minecraft.black_candle
黒色のろうそくが立てられたケーキ,Cake with Black Candle,block.minecraft.black_candle_cake
黒色のカーペット,Black Carpet,block.minecraft.black_carpet
黒色のコンクリート,Black Concrete,block.minecraft.black_concrete
黒色のコンクリートパウダー,Black Concrete Powder,block.minecraft.black_concrete_powder
黒色の彩釉テラコッタ,Black Glazed Terracotta,block.minecraft.black_glazed_terracotta
黒色のシュルカーボックス,Black Shulker Box,block.minecraft.black_shulker_box
黒色の色付きガラス,Black Stained Glass,block.minecraft.black_stained_glass
黒色の色付きガラス板,Black Stained Glass Pane,block.minecraft.black_stained_glass_pane
黒色のテラコッタ,Black Terracotta,block.minecraft.black_terracotta
黒色の羊毛,Black Wool,block.minecraft.black_wool
ブラックストーン,Blackstone,block.minecraft.blackstone
ブラックストーンのハーフブロック,Blackstone Slab,block.minecraft.blackstone_slab
ブラックストーンの階段,Blackstone Stairs,block.minecraft.blackstone_stairs
ブラックストーンの塀,Blackstone Wall,block.minecraft.blackstone_wall
溶鉱炉,Blast Furnace,block.minecraft.blast_furnace
青色の旗,Blue Banner,block.minecraft.blue_banner
青色のベッド,Blue Bed,block.minecraft.blue_bed
青色のろうそく,Blue Candle,block.minecraft.blue_candle
青色のろうそくが立てられたケーキ,Cake with Blue Candle,block.minecraft.blue_candle_cake
青色のカーペット,Blue Carpet,block.minecraft.blue_carpet
青色のコンクリート,Blue Concrete,block.minecraft.blue_concrete
青色のコンクリートパウダー,Blue Concrete Powder,block.minecraft.blue_concrete_powder
青色の彩釉テラコッタ,Blue Glazed Terracotta,block.minecraft.blue_glazed_terracotta
青氷,Blue Ice,block.minecraft.blue_ice
ヒスイラン,Blue Orchid,block.minecraft.blue_orchid
青色のシュルカーボックス,Blue Shulker Box,block.minecraft.blue_shulker_box
青色の色付きガラス,Blue Stained Glass,block.minecraft.blue_stained_glass
青色の色付きガラス板,Blue Stained Glass Pane,block.minecraft.blue_stained_glass_pane
青色のテラコッタ,Blue Terracotta,block.minecraft.blue_terracotta
青色の羊毛,Blue Wool,block.minecraft.blue_wool
骨ブロック,Bone Block,block.minecraft.bone_block
本棚,Bookshelf,block.minecraft.bookshelf
ノウサンゴ,Brain Coral,block.minecraft.brain_coral
ノウサンゴブロック,Brain Coral Block,block.minecraft.brain_coral_block
ノウウチワサンゴ,Brain Coral Fan,block.minecraft.brain_coral_fan
壁付きのノウウチワサンゴ,Brain Coral Wall Fan,block.minecraft.brain_coral_wall_fan
醸造台,Brewing Stand,block.minecraft.brewing_stand
レンガのハーフブロック,Brick Slab,block.minecraft.brick_slab
レンガの階段,Brick Stairs,block.minecraft.brick_stairs
レンガの塀,Brick Wall,block.minecraft.brick_wall
レンガ,Bricks,block.minecraft.bricks
茶色の旗,Brown Banner,block.minecraft.brown_banner
茶色のベッド,Brown Bed,block.minecraft.brown_bed
茶色のろうそく,Brown Candle,block.minecraft.brown_candle
茶色のろうそくが立てられたケーキ,Cake with Brown Candle,block.minecraft.brown_candle_cake
茶色のカーペット,Brown Carpet,block.minecraft.brown_carpet
茶色のコンクリート,Brown Concrete,block.minecraft.brown_concrete
茶色のコンクリートパウダー,Brown Concrete Powder,block.minecraft.brown_concrete_powder
茶色の彩釉テラコッタ,Brown Glazed Terracotta,block.minecraft.brown_glazed_terracotta
茶色のキノコ,Brown Mushroom,block.minecraft.brown_mushroom
茶色のキノコブロック,Brown Mushroom Block,block.minecraft.brown_mushroom_block
茶色のシュルカーボックス,Brown Shulker Box,block.minecraft.brown_shulker_box
茶色の色付きガラス,Brown Stained Glass,block.minecraft.brown_stained_glass
茶色の色付きガラス板,Brown Stained Glass Pane,block.minecraft.brown_stained_glass_pane
茶色のテラコッタ,Brown Terracotta,block.minecraft.brown_terracotta
茶色の羊毛,Brown Wool,block.minecraft.brown_wool
気泡柱,Bubble Column,block.minecraft.bubble_column
ミズタマサンゴ,Bubble Coral,block.minecraft.bubble_coral
ミズタマサンゴブロック,Bubble Coral Block,block.minecraft.bubble_coral_block
ミズタマウチワサンゴ,Bubble Coral Fan,block.minecraft.bubble_coral_fan
壁付きのミズタマウチワサンゴ,Bubble Coral Wall Fan,block.minecraft.bubble_coral_wall_fan
芽生えたアメジスト,Budding Amethyst,block.minecraft.budding_amethyst
サボテン,Cactus,block.minecraft.cactus
ケーキ,Cake,block.minecraft.cake
方解石,Calcite,block.minecraft.calcite
調律されたスカルクセンサー,Calibrated Sculk Sensor,block.minecraft.calibrated_sculk_sensor
焚き火,Campfire,block.minecraft.campfire
ろうそく,Candle,block.minecraft.candle
ろうそくが立てられたケーキ,Cake with Candle,block.minecraft.candle_cake
ニンジン,Carrots,block.minecraft.carrots
製図台,Cartography Table,block.minecraft.cartography_table
くり抜かれたカボチャ,Carved Pumpkin,block.minecraft.carved_pumpkin
大釜,Cauldron,block.minecraft.cauldron
洞窟の空気,Cave Air,block.minecraft.cave_air
洞窟のツタ,Cave Vines,block.minecraft.cave_vines
洞窟のツタのつる,Cave Vines Plant,block.minecraft.cave_vines_plant
鎖,Chain,block.minecraft.chain
チェーンコマンドブロック,Chain Command Block,block.minecraft.chain_command_block
サクラのボタン,Cherry Button,block.minecraft.cherry_button
サクラのドア,Cherry Door,block.minecraft.cherry_door
サクラのフェンス,Cherry Fence,block.minecraft.cherry_fence
サクラのフェンスゲート,Cherry Fence Gate,block.minecraft.cherry_fence_gate
サクラの吊り看板,Cherry Hanging Sign,block.minecraft.cherry_hanging_sign
サクラの葉,Cherry Leaves,block.minecraft.cherry_leaves
サクラの原木,Cherry Log,block.minecraft.cherry_log
サクラの板材,Cherry Planks,block.minecraft.cherry_planks
サクラの感圧板,Cherry Pressure Plate,block.minecraft.cherry_pressure_plate
サクラの苗木,Cherry Sapling,block.minecraft.cherry_sapling
サクラの看板,Cherry Sign,block.minecraft.cherry_sign
サクラのハーフブロック,Cherry Slab,block.minecraft.cherry_slab
サクラの階段,Cherry Stairs,block.minecraft.cherry_stairs
サクラのトラップドア,Cherry Trapdoor,block.minecraft.cherry_trapdoor
壁に付けられたサクラの吊り看板,Cherry Wall Hanging Sign,block.minecraft.cherry_wall_hanging_sign
壁に付けられたサクラの看板,Cherry Wall Sign,block.minecraft.cherry_wall_sign
サクラの木,Cherry Wood,block.minecraft.cherry_wood
チェスト,Chest,block.minecraft.chest
欠けた金床,Chipped Anvil,block.minecraft.chipped_anvil
模様入りの本棚,Chiseled Bookshelf,block.minecraft.chiseled_bookshelf
模様入りの銅,Chiseled Copper,block.minecraft.chiseled_copper
模様入りの深層岩,Chiseled Deepslate,block.minecraft.chiseled_deepslate
模様入りのネザーレンガ,Chiseled Nether Bricks,block.minecraft.chiseled_nether_bricks
模様入りの磨かれたブラックストーン,Chiseled Polished Blackstone,block.minecraft.chiseled_polished_blackstone
模様入りのクォーツブロック,Chiseled Quartz Block,block.minecraft.chiseled_quartz_block
模様入りの赤い砂岩,Chiseled Red Sandstone,block.minecraft.chiseled_red_sandstone
模様入りの砂岩,Chiseled Sandstone,block.minecraft.chiseled_sandstone
模様入りの石レンガ,Chiseled Stone Bricks,block.minecraft.chiseled_stone_bricks
模様入りの凝灰岩,Chiseled Tuff,block.minecraft.chiseled_tuff
模様入りの凝灰岩レンガ,Chiseled Tuff Bricks,block.minecraft.chiseled_tuff_bricks
コーラスフラワー,Chorus Flower,block.minecraft.chorus_flower
コーラスプラント,Chorus Plant,block.minecraft.chorus_plant
粘土,Clay,block.minecraft.clay
石炭ブロック,Block of Coal,block.minecraft.coal_block
石炭鉱石,Coal Ore,block.minecraft.coal_ore
粗い土,Coarse Dirt,block.minecraft.coarse_dirt
深層岩の丸石,Cobbled Deepslate,block.minecraft.cobbled_deepslate
深層岩の丸石のハーフブロック,Cobbled Deepslate Slab,block.minecraft.cobbled_deepslate_slab
深層岩の丸石の階段,Cobbled Deepslate Stairs,block.minecraft.cobbled_deepslate_stairs
深層岩の丸石の塀,Cobbled Deepslate Wall,block.minecraft.cobbled_deepslate_wall
丸石,Cobblestone,block.minecraft.cobblestone
丸石のハーフブロック,Cobblestone Slab,block.minecraft.cobblestone_slab
丸石の階段,Cobblestone Stairs,block.minecraft.cobblestone_stairs
丸石の塀,Cobblestone Wall,block.minecraft.cobblestone_wall
クモの巣,Cobweb,block.minecraft.cobweb
カカオの実,Cocoa,block.minecraft.cocoa
コマンドブロック,Command Block,block.minecraft.command_block
レッドストーンコンパレーター,Redstone Comparator,block.minecraft.comparator
コンポスター,Composter,block.minecraft.composter
コンジット,Conduit,block.minecraft.conduit
銅ブロック,Block of Copper,block.minecraft.copper_block
銅の電球,Copper Bulb,block.minecraft.copper_bulb
銅のドア,Copper Door,block.minecraft.copper_door
銅の格子,Copper Grate,block.minecraft.copper_grate
銅鉱石,Copper Ore,block.minecraft.copper_ore
銅のトラップドア,Copper Trapdoor,block.minecraft.copper_trapdoor
ヤグルマギク,Cornflower,block.minecraft.cornflower
ひび割れた深層岩レンガ,Cracked Deepslate Bricks,block.minecraft.cracked_deepslate_bricks
ひび割れた深層岩タイル,Cracked Deepslate Tiles,block.minecraft.cracked_deepslate_tiles
ひび割れたネザーレンガ,Cracked Nether Bricks,block.minecraft.cracked_nether_bricks
ひび割れた磨かれたブラックストーンレンガ,Cracked Polished Blackstone Bricks,block.minecraft.cracked_polished_blackstone_bricks
ひび割れた石レンガ,Cracked Stone Bricks,block.minecraft.cracked_stone_bricks
自動作業台,Crafter,block.minecraft.crafter
作業台,Crafting Table,block.minecraft.crafting_table
クリーパーの頭,Creeper Head,block.minecraft.creeper_head
壁に付けられたクリーパーの頭,Creeper Wall Head,block.minecraft.creeper_wall_head
真紅のボタン,Crimson Button,block.minecraft.crimson_button
真紅のドア,Crimson Door,block.minecraft.crimson_door
真紅のフェンス,Crimson Fence,block.minecraft.crimson_fence
真紅のフェンスゲート,Crimson Fence Gate,block.minecraft.crimson_fence_gate
真紅のキノコ,Crimson Fungus,block.minecraft.crimson_fungus
真紅の吊り看板,Crimson Hanging Sign,block.minecraft.crimson_hanging_sign
真紅の菌糸,Crimson Hyphae,block.minecraft.crimson_hyphae
真紅のナイリウム,Crimson Nylium,block.minecraft.crimson_nylium
真紅の板材,Crimson Planks,block.minecraft.crimson_planks
真紅の感圧板,Crimson Pressure Plate,block.minecraft.crimson_pressure_plate
真紅の根,Crimson Roots,block.minecraft.crimson_roots
真紅の看板,Crimson Sign,block.minecraft.crimson_sign
真紅のハーフブロック,Crimson Slab,block.minecraft.crimson_slab
真紅の階段,Crimson Stairs,block.minecraft.crimson_stairs
真紅の幹,Crimson Stem,block.minecraft.crimson_stem
真紅のトラップドア,Crimson Trapdoor,block.minecraft.crimson_trapdoor
壁に付けられた真紅の吊り看板,Crimson Wall Hanging Sign,block.minecraft.crimson_wall_hanging_sign
壁に付けられた真紅の看板,Crimson Wall Sign,block.minecraft.crimson_wall_sign
泣く黒曜石,Crying Obsidian,block.minecraft.crying_obsidian
切り込み入りの銅,Cut Copper,block.minecraft.cut_copper
切り込み入りの銅のハーフブロック,Cut Copper Slab,block.minecraft.cut_copper_slab
切り込み入りの銅の階段,Cut Copper Stairs,block.minecraft.cut_copper_stairs
研がれた赤い砂岩,Cut Red Sandstone,block.minecraft.cut_red_sandstone
研がれた赤い砂岩のハーフブロック,Cut Red Sandstone Slab,block.minecraft.cut_red_sandstone_slab
研がれた砂岩,Cut Sandstone,block.minecraft.cut_sandstone
研がれた砂岩のハーフブロック,Cut Sandstone Slab,block.minecraft.cut_sandstone_slab
青緑色の旗,Cyan Banner,block.minecraft.cyan_banner
青緑色のベッド,Cyan Bed,block.minecraft.cyan_bed
青緑色のろうそく,Cyan Candle,block.minecraft.cyan_candle
青緑色のろうそくが立てられたケーキ,Cake with Cyan Candle,block.minecraft.cyan_candle_cake
青緑色のカーペット,Cyan Carpet,block.minecraft.cyan_carpet
青緑色のコンクリート,Cyan Concrete,block.minecraft.cyan_concrete
青緑色のコンクリートパウダー,Cyan Concrete Powder,block.minecraft.cyan_concrete_powder
青緑色の彩釉テラコッタ,Cyan Glazed Terracotta,block.minecraft.cyan_glazed_terracotta
青緑色のシュルカーボックス,Cyan Shulker Box,block.minecraft.cyan_shulker_box
青緑色の色付きガラス,Cyan Stained Glass,block.minecraft.cyan_stained_glass
青緑色の色付きガラス板,Cyan Stained Glass Pane,block.minecraft.cyan_stained_glass_pane
青緑色のテラコッタ,Cyan Terracotta,block.minecraft.cyan_terracotta
青緑色の羊毛,Cyan Wool,block.minecraft.cyan_wool
壊れかけの金床,Damaged Anvil,block.minecraft.damaged_anvil
タンポポ,Dandelion,block.minecraft.dandelion
ダークオークのボタン,Dark Oak Button,block.minecraft.dark_oak_button
ダークオークのドア,Dark Oak Door,block.minecraft.dark_oak_door
ダークオークのフェンス,Dark Oak Fence,block.minecraft.dark_oak_fence
ダークオークのフェンスゲート,Dark Oak Fence Gate,block.minecraft.dark_oak_fence_gate
ダークオークの吊り看板,Dark Oak Hanging Sign,block.minecraft.dark_oak_hanging_sign
ダークオークの葉,Dark Oak Leaves,block.minecraft.dark_oak_leaves
ダークオークの原木,Dark Oak Log,block.minecraft.dark_oak_log
ダークオークの板材,Dark Oak Planks,block.minecraft.dark_oak_planks
ダークオークの感圧板,Dark Oak Pressure Plate,block.minecraft.dark_oak_pressure_plate
ダークオークの苗木,Dark Oak Sapling,block.minecraft.dark_oak_sapling
ダークオークの看板,Dark Oak Sign,block.minecraft.dark_oak_sign
ダークオークのハーフブロック,Dark Oak Slab,block.minecraft.dark_oak_slab
ダークオークの階段,Dark Oak Stairs,block.minecraft.dark_oak_stairs
ダークオークのトラップドア,Dark Oak Trapdoor,block.minecraft.dark_oak_trapdoor
壁に付けられたダークオークの吊り看板,Dark Oak Wall Hanging Sign,block.minecraft.dark_oak_wall_hanging_sign
壁に付けられたダークオークの看板,Dark Oak Wall Sign,block.minecraft.dark_oak_wall_sign
ダークオークの木,Dark Oak Wood,block.minecraft.dark_oak_wood
ダークプリズマリン,Dark Prismarine,block.minecraft.dark_prismarine
ダークプリズマリンのハーフブロック,Dark Prismarine Slab,block.minecraft.dark_prismarine_slab
ダークプリズマリンの階段,Dark Prismarine Stairs,block.minecraft.dark_prismarine_stairs
日照センサー,Daylight Detector,block.minecraft.daylight_detector
死んだノウサンゴ,Dead Brain Coral,block.minecraft.dead_brain_coral
死んだノウサンゴブロック,Dead Brain Coral Block,block.minecraft.dead_brain_coral_block
死んだノウウチワサンゴ,Dead Brain Coral Fan,block.minecraft.dead_brain_coral_fan
壁付きの死んだノウウチワサンゴ,Dead Brain Coral Wall Fan,block.minecraft.dead_brain_coral_wall_fan
死んだミズタマサンゴ,Dead Bubble Coral,block.minecraft.dead_bubble_coral
死んだミズタマサンゴブロック,Dead Bubble Coral Block,block.minecraft.dead_bubble_coral_block
死んだミズタマウチワサンゴ,Dead Bubble Coral Fan,block.minecraft.dead_bubble_coral_fan
壁付きの死んだミズタマウチワサンゴ,Dead Bubble Coral Wall Fan,block.minecraft.dead_bubble_coral_wall_fan
枯れ木,Dead Bush,block.minecraft.dead_bush
死んだミレポラサンゴ,Dead Fire Coral,block.minecraft.dead_fire_coral
死んだミレポラサンゴブロック,Dead Fire Coral Block,block.minecraft.dead_fire_coral_block
死んだミレポラウチワサンゴ,Dead Fire Coral Fan,block.minecraft.dead_fire_coral_fan
壁付きの死んだミレポラウチワサンゴ,Dead Fire Coral Wall Fan,block.minecraft.dead_fire_coral_wall_fan
死んだシカツノサンゴ,Dead Horn Coral,block.minecraft.dead_horn_coral
死んだシカツノサンゴブロック,Dead Horn Coral Block,block.minecraft.dead_horn_coral_block
死んだシカツノウチワサンゴ,Dead Horn Coral Fan,block.minecraft.dead_horn_coral_fan
壁付きの死んだシカツノウチワサンゴ,Dead Horn Coral Wall Fan,block.minecraft.dead_horn_coral_wall_fan
死んだクダサンゴ,Dead Tube Coral,block.minecraft.dead_tube_coral
死んだクダサンゴブロック,Dead Tube Coral Block,block.minecraft.dead_tube_coral_block
死んだクダウチワサンゴ,Dead Tube Coral Fan,block.minecraft.dead_tube_coral_fan
壁付きの死んだクダウチワサンゴ,Dead Tube Coral Wall Fan,block.minecraft.dead_tube_coral_wall_fan
飾り壺,Decorated Pot,block.minecraft.decorated_pot
深層岩,Deepslate,block.minecraft.deepslate
深層岩レンガのハーフブロック,Deepslate Brick Slab,block.minecraft.deepslate_brick_slab
深層岩レンガの階段,Deepslate Brick Stairs,block.minecraft.deepslate_brick_stairs
深層岩レンガの塀,Deepslate Brick Wall,block.minecraft.deepslate_brick_wall
深層岩レンガ,Deepslate Bricks,block.minecraft.deepslate_bricks
深層石炭鉱石,Deepslate Coal Ore,block.minecraft.deepslate_coal_ore
深層銅鉱石,Deepslate Copper Ore,block.minecraft.deepslate_copper_ore
深層ダイヤモンド鉱石,Deepslate Diamond Ore,block.minecraft.deepslate_diamond_ore
深層エメラルド鉱石,Deepslate Emerald Ore,block.minecraft.deepslate_emerald_ore
深層金鉱石,Deepslate Gold Ore,block.minecraft.deepslate_gold_ore
深層鉄鉱石,Deepslate Iron Ore,block.minecraft.deepslate_iron_ore
深層ラピスラズリ鉱石,Deepslate Lapis Lazuli Ore,block.minecraft.deepslate_lapis_ore
深層レッドストーン鉱石,Deepslate Redstone Ore,block.minecraft.deepslate_redstone_ore
深層岩タイルのハーフブロック,Deepslate Tile Slab,block.minecraft.deepslate_tile_slab
深層岩タイルの階段,Deepslate Tile Stairs,block.minecraft.deepslate_tile_stairs
深層岩タイルの塀,Deepslate Tile Wall,block.minecraft.deepslate_tile_wall
深層岩タイル,Deepslate Tiles,block.minecraft.deepslate_tiles
ディテクターレール,Detector Rail,block.minecraft.detector_rail
ダイヤモンドブロック,Block of Diamond,block.minecraft.diamond_block
ダイヤモンド鉱石,Diamond Ore,block.minecraft.diamond_ore
閃緑岩,Diorite,block.minecraft.diorite
閃緑岩のハーフブロック,Diorite Slab,block.minecraft.diorite_slab
閃緑岩の階段,Diorite Stairs,block.minecraft.diorite_stairs
閃緑岩の塀,Diorite Wall,block.minecraft.diorite_wall
土,Dirt,block.minecraft.dirt
土の道,Dirt Path,block.minecraft.dirt_path
ディスペンサー,Dispenser,block.minecraft.dispenser
ドラゴンの卵,Dragon Egg,block.minecraft.dragon_egg
ドラゴンの頭,Dragon Head,block.minecraft.dragon_head
壁に付けられたドラゴンの頭,Dragon Wall Head,block.minecraft.dragon_wall_head
乾燥した昆布ブロック,Dried Kelp Block,block.minecraft.dried_kelp_block
鍾乳石ブロック,Dripstone Block,block.minecraft.dripstone_block
ドロッパー,Dropper,block.minecraft.dropper
エメラルドブロック,Block of Emerald,block.minecraft.emerald_block
エメラルド鉱石,Emerald Ore,block.minecraft.emerald_ore
エンチャントテーブル,Enchanting Table,block.minecraft.enchanting_table
エンドゲートウェイ,End Gateway,block.minecraft.end_gateway
エンドポータル,End Portal,block.minecraft.end_portal
エンドポータルフレーム,End Portal Frame,block.minecraft.end_portal_frame
エンドロッド,End Rod,block.minecraft.end_rod
エンドストーン,End Stone,block.minecraft.end_stone
エンドストーンレンガのハーフブロック,End Stone Brick Slab,block.minecraft.end_stone_brick_slab
エンドストーンレンガの階段,End Stone Brick Stairs,block.minecraft.end_stone_brick_stairs
エンドストーンレンガの塀,End Stone Brick Wall,block.minecraft.end_stone_brick_wall
エンドストーンレンガ,End Stone Bricks,block.minecraft.end_stone_bricks
エンダーチェスト,Ender Chest,block.minecraft.ender_chest
風化した模様入りの銅,Exposed Chiseled Copper,block.minecraft.exposed_chiseled_copper
風化した銅,Exposed Copper,block.minecraft.exposed_copper
風化した銅の電球,Exposed Copper Bulb,block.minecraft.exposed_copper_bulb
風化した銅のドア,Exposed Copper Door,block.minecraft.exposed_copper_door
風化した銅の格子,Exposed Copper Grate,block.minecraft.exposed_copper_grate
風化した銅のトラップドア,Exposed Copper Trapdoor,block.minecraft.exposed_copper_trapdoor
風化した切り込み入りの銅,Exposed Cut Copper,block.minecraft.exposed_cut_copper
風化した切り込み入りの銅のハーフブロック,Exposed Cut Copper Slab,block.minecraft.exposed_cut_copper_slab
風化した切り込み入りの銅の階段,Exposed Cut Copper Stairs,block.minecraft.exposed_cut_copper_stairs
耕地,Farmland,block.minecraft.farmland
シダ,Fern,block.minecraft.fern
炎,Fire,block.minecraft.fire
ミレポラサンゴ,Fire Coral,block.minecraft.fire_coral
ミレポラサンゴブロック,Fire Coral Block,block.minecraft.fire_coral_block
ミレポラウチワサンゴ,Fire Coral Fan,block.minecraft.fire_coral_fan
壁付きのミレポラウチワサンゴ,Fire Coral Wall Fan,block.minecraft.fire_coral_wall_fan
矢細工台,Fletching Table,block.minecraft.fletching_table
植木鉢,Flower Pot,block.minecraft.flower_pot
開花したツツジ,Flowering Azalea,block.minecraft.flowering_azalea
開花したツツジの葉,Flowering Azalea Leaves,block.minecraft.flowering_azalea_leaves
カエルの卵,Frogspawn,block.minecraft.frogspawn
薄氷,Frosted Ice,block.minecraft.frosted_ice
かまど,Furnace,block.minecraft.furnace
きらめくブラックストーン,Gilded Blackstone,block.minecraft.gilded_blackstone
ガラス,Glass,block.minecraft.glass
ガラス板,Glass Pane,block.minecraft.glass_pane
ヒカリゴケ,Glow Lichen,block.minecraft.glow_lichen
グロウストーン,Glowstone,block.minecraft.glowstone
金ブロック,Block of Gold,block.minecraft.gold_block
金鉱石,Gold Ore,block.minecraft.gold_ore
花崗岩,Granite,block.minecraft.granite
花崗岩のハーフブロック,Granite Slab,block.minecraft.granite_slab
花崗岩の階段,Granite Stairs,block.minecraft.granite_stairs
花崗岩の塀,Granite Wall,block.minecraft.granite_wall
草,Grass,block.minecraft.grass
草ブロック,Grass Block,block.minecraft.grass_block
砂利,Gravel,block.minecraft.gravel
灰色の旗,Gray Banner,block.minecraft.gray_banner
灰色のベッド,Gray Bed,block.minecraft.gray_bed
灰色のろうそく,Gray Candle,block.minecraft.gray_candle
灰色のろうそくが立てられたケーキ,Cake with Gray Candle,block.minecraft.gray_candle_cake
灰色のカーペット,Gray Carpet,block.minecraft.gray_carpet
灰色のコンクリート,Gray Concrete,block.minecraft.gray_concrete
灰色のコンクリートパウダー,Gray Concrete Powder,block.minecraft.gray_concrete_powder
灰色の彩釉テラコッタ,Gray Glazed Terracotta,block.minecraft.gray_glazed_terracotta
灰色のシュルカーボックス,Gray Shulker Box,block.minecraft.gray_shulker_box
灰色の色付きガラス,Gray Stained Glass,block.minecraft.gray_stained_glass
灰色の色付きガラス板,Gray Stained Glass Pane,block.minecraft.gray_stained_glass_pane
灰色のテラコッタ,Gray Terracotta,block.minecraft.gray_terracotta
灰色の羊毛,Gray Wool,block.minecraft.gray_wool
緑色の旗,Green Banner,block.minecraft.green_banner
緑色のベッド,Green Bed,block.minecraft.green_bed
緑色のろうそく,Green Candle,block.minecraft.green_candle
緑色のろうそくが立てられたケーキ,Cake with Green Candle,block.minecraft.green_candle_cake
緑色のカーペット,Green Carpet,block.minecraft.green_carpet
緑色のコンクリート,Green Concrete,block.minecraft.green_concrete
緑色のコンクリートパウダー,Green Concrete Powder,block.minecraft.green_concrete_powder
緑色の彩釉テラコッタ,Green Glazed Terracotta,block.minecraft.green_glazed_terracotta
緑色のシュルカーボックス,Green Shulker Box,block.minecraft.green_shulker_box
緑色の色付きガラス,Green Stained Glass,block.minecraft.green_stained_glass
緑色の色付きガラス板,Green Stained Glass Pane,block.minecraft.green_stained_glass_pane
緑色のテラコッタ,Green Terracotta,block.minecraft.green_terracotta
緑色の羊毛,Green Wool,block.minecraft.green_wool
砥石,Grindstone,block.minecraft.grindstone
垂れ根,Hanging Roots,block.minecraft.hanging_roots
干草の俵,Hay Bale,block.minecraft.hay_block
ヘビーコア,Heavy Core,block.minecraft.heavy_core
重量用感圧板,Heavy Weighted Pressure Plate,block.minecraft.heavy_weighted_pressure_plate
ハチミツブロック,Honey Block,block.minecraft.honey_block
ハニカムブロック,Honeycomb Block,block.minecraft.honeycomb_block
ホッパー,Hopper,block.minecraft.hopper
シカツノサンゴ,Horn Coral,block.minecraft.horn_coral
シカツノサンゴブロック,Horn Coral Block,block.minecraft.horn_coral_block
シカツノウチワサンゴ,Horn Coral Fan,block.minecraft.horn_coral_fan
壁付きのシカツノウチワサンゴ,Horn Coral Wall Fan,block.minecraft.horn_coral_wall_fan
氷,Ice,block.minecraft.ice
模様入りの虫食い石レンガ,Infested Chiseled Stone Bricks,block.minecraft.infested_chiseled_stone_bricks
虫食い丸石,Infested Cobblestone,block.minecraft.infested_cobblestone
ひび割れた虫食い石レンガ,Infested Cracked Stone Bricks,block.minecraft.infested_cracked_stone_bricks
虫食い深層岩,Infested Deepslate,block.minecraft.infested_deepslate
苔むした虫食い石レンガ,Infested Mossy Stone Bricks,block.minecraft.infested_mossy_stone_bricks
虫食い石,Infested Stone,block.minecraft.infested_stone
虫食い石レンガ,Infested Stone Bricks,block.minecraft.infested_stone_bricks
鉄格子,Iron Bars,block.minecraft.iron_bars
鉄ブロック,Block of Iron,block.minecraft.iron_block
鉄のドア,Iron Door,block.minecraft.iron_door
鉄鉱石,Iron Ore,block.minecraft.iron_ore
鉄のトラップドア,Iron Trapdoor,block.minecraft.iron_trapdoor
ジャック・オ・ランタン,Jack o'Lantern,block.minecraft.jack_o_lantern
ジグソーブロック,Jigsaw Block,block.minecraft.jigsaw
ジュークボックス,Jukebox,block.minecraft.jukebox
ジャングルのボタン,Jungle Button,block.minecraft.jungle_button
ジャングルのドア,Jungle Door,block.minecraft.jungle_door
ジャングルのフェンス,Jungle Fence,block.minecraft.jungle_fence
ジャングルのフェンスゲート,Jungle Fence Gate,block.minecraft.jungle_fence_gate
ジャングルの吊り看板,Jungle Hanging Sign,block.minecraft.jungle_hanging_sign
ジャングルの葉,Jungle Leaves,block.minecraft.jungle_leaves
ジャングルの原木,Jungle Log,block.minecraft.jungle_log
ジャングルの板材,Jungle Planks,block.minecraft.jungle_planks
ジャングルの感圧板,Jungle Pressure Plate,block.minecraft.jungle_pressure_plate
ジャングルの苗木,Jungle Sapling,block.minecraft.jungle_sapling
ジャングルの看板,Jungle Sign,block.minecraft.jungle_sign
ジャングルのハーフブロック,Jungle Slab,block.minecraft.jungle_slab
ジャングルの階段,Jungle Stairs,block.minecraft.jungle_stairs
ジャングルのトラップドア,Jungle Trapdoor,block.minecraft.jungle_trapdoor
壁に付けられたジャングルの吊り看板,Jungle Wall Hanging Sign,block.minecraft.jungle_wall_hanging_sign
壁に付けられたジャングルの看板,Jungle Wall Sign,block.minecraft.jungle_wall_sign
ジャングルの木,Jungle Wood,block.minecraft.jungle_wood
コンブ,Kelp,block.minecraft.kelp
コンブの茎,Kelp Plant,block.minecraft.kelp_plant
はしご,Ladder,block.minecraft.ladder
ランタン,Lantern,block.minecraft.lantern
ラピスラズリブロック,Block of Lapis Lazuli,block.minecraft.lapis_block
ラピスラズリ鉱石,Lapis Lazuli Ore,block.minecraft.lapis_ore
大きなアメジストの芽,Large Amethyst Bud,block.minecraft.large_amethyst_bud
大きなシダ,Large Fern,block.minecraft.large_fern
溶岩,Lava,block.minecraft.lava
溶岩入りの大釜,Lava Cauldron,block.minecraft.lava_cauldron
